sigma,seed,zeta_gain,lr,noise,final_V,deltaF90,accept_rate
0.5,41,0.25,0.08,0.019999999999999997,0.5352057472750442,180,0.2578616352201258
0.5,41,0.25,0.08,0.03,0.5878473651877706,179,0.25391849529780564
0.5,41,0.25,0.08,0.04,0.6226813508180757,159,0.25
0.5,41,0.25,0.1,0.019999999999999997,0.5350988091019097,180,0.2578616352201258
0.5,41,0.25,0.1,0.03,0.5876782307017394,179,0.25391849529780564
0.5,41,0.25,0.1,0.04,0.6312013779567855,159,0.25
0.5,41,0.25,0.12000000000000001,0.019999999999999997,0.5349798086192874,180,0.2578616352201258
0.5,41,0.25,0.12000000000000001,0.03,0.5874980506348576,179,0.25391849529780564
0.5,41,0.25,0.12000000000000001,0.04,0.6309332680470909,159,0.25
0.5,41,0.3,0.08,0.019999999999999997,0.5353035975510124,180,0.2578616352201258
0.5,41,0.3,0.08,0.03,0.5863633843638854,179,0.24610591900311526
0.5,41,0.3,0.08,0.04,0.6322757574193133,178,0.24610591900311526
0.5,41,0.3,0.1,0.019999999999999997,0.5351389290658365,180,0.2578616352201258
0.5,41,0.3,0.1,0.03,0.5861749819363207,179,0.24610591900311526
0.5,41,0.3,0.1,0.04,0.6320091080204199,178,0.24610591900311526
0.5,41,0.3,0.12000000000000001,0.019999999999999997,0.5356648299222473,180,0.2578616352201258
0.5,41,0.3,0.12000000000000001,0.03,0.5859761030965368,179,0.24610591900311526
0.5,41,0.3,0.12000000000000001,0.04,0.6341546117608463,178,0.24610591900311526
0.5,41,0.35,0.08,0.019999999999999997,0.5401693055894121,180,0.2578616352201258
0.5,41,0.35,0.08,0.03,0.5880115528196812,179,0.2578616352201258
0.5,41,0.35,0.08,0.04,0.631338085101161,178,0.23839009287925697
0.5,41,0.35,0.1,0.019999999999999997,0.540031813387784,180,0.2578616352201258
0.5,41,0.35,0.1,0.03,0.5878798680368622,179,0.25391849529780564
0.5,41,0.35,0.1,0.04,0.6320469850596909,178,0.23839009287925697
0.5,41,0.35,0.12000000000000001,0.019999999999999997,0.5404831046001337,180,0.2618296529968454
0.5,41,0.35,0.12000000000000001,0.03,0.587687295821381,179,0.25391849529780564
0.5,41,0.35,0.12000000000000001,0.04,0.6319451185016299,178,0.23839009287925697
0.5,42,0.25,0.08,0.019999999999999997,0.5305583609846244,182,0.30293159609120524
0.5,42,0.25,0.08,0.03,0.5856436564916184,179,0.31511254019292606
0.5,42,0.25,0.08,0.04,0.6405266693701791,179,0.326984126984127
0.5,42,0.25,0.1,0.019999999999999997,0.5305179764357187,182,0.30293159609120524
0.5,42,0.25,0.1,0.03,0.5856625549150283,179,0.31189710610932475
0.5,42,0.25,0.1,0.04,0.6408184100134191,179,0.3089171974522293
0.5,42,0.25,0.12000000000000001,0.019999999999999997,0.5304604864818817,182,0.30293159609120524
0.5,42,0.25,0.12000000000000001,0.03,0.5865102142879237,182,0.3108974358974359
0.5,42,0.25,0.12000000000000001,0.04,0.6408900608568884,179,0.3057324840764331
0.5,42,0.3,0.08,0.019999999999999997,0.5314512026619722,182,0.3042071197411003
0.5,42,0.3,0.08,0.03,0.5927342971154419,182,0.31715210355987056
0.5,42,0.3,0.08,0.04,0.6432310417202813,182,0.3258785942492013
0.5,42,0.3,0.1,0.019999999999999997,0.5314664399088913,182,0.29449838187702265
0.5,42,0.3,0.1,0.03,0.5936361419074588,182,0.2987012987012987
0.5,42,0.3,0.1,0.04,0.6404355581005892,180,0.33440514469453375
0.5,42,0.3,0.12000000000000001,0.019999999999999997,0.531468551085978,182,0.29449838187702265
0.5,42,0.3,0.12000000000000001,0.03,0.5933816851573385,182,0.28205128205128205
0.5,42,0.3,0.12000000000000001,0.04,0.640484492805208,180,0.33440514469453375
0.5,42,0.35,0.08,0.019999999999999997,0.5323676939102643,182,0.35081967213114756
0.5,42,0.35,0.08,0.03,0.5920311207009625,182,0.33766233766233766
0.5,42,0.35,0.08,0.04,0.6487471815094091,180,0.31210191082802546
0.5,42,0.35,0.1,0.019999999999999997,0.532357809385531,182,0.3344262295081967
0.5,42,0.35,0.1,0.03,0.5919978081969742,182,0.3181818181818182
0.5,42,0.35,0.1,0.04,0.648731453793753,180,0.3089171974522293
0.5,42,0.35,0.12000000000000001,0.019999999999999997,0.533643390613988,182,0.3257328990228013
0.5,42,0.35,0.12000000000000001,0.03,0.5919824514606519,182,0.31493506493506496
0.5,42,0.35,0.12000000000000001,0.04,0.6424964333749936,180,0.3514376996805112
0.5,43,0.25,0.08,0.019999999999999997,0.5486743758040621,172,0.3201320132013201
0.5,43,0.25,0.08,0.03,0.6078659400460923,172,0.3114754098360656
0.5,43,0.25,0.08,0.04,0.6722852861084447,178,0.29354838709677417
0.5,43,0.25,0.1,0.019999999999999997,0.5485120317778948,172,0.3201320132013201
0.5,43,0.25,0.1,0.03,0.6129078717093788,177,0.3190789473684211
0.5,43,0.25,0.1,0.04,0.6722894902109811,178,0.2903225806451613
0.5,43,0.25,0.12000000000000001,0.019999999999999997,0.548334122191647,172,0.3201320132013201
0.5,43,0.25,0.12000000000000001,0.03,0.6129015653026824,177,0.3157894736842105
0.5,43,0.25,0.12000000000000001,0.04,0.672292769202482,178,0.29354838709677417
0.5,43,0.3,0.08,0.019999999999999997,0.552177671450269,173,0.3468013468013468
0.5,43,0.3,0.08,0.03,0.6108832286155799,176,0.30293159609120524
0.5,43,0.3,0.08,0.04,0.6749564761120898,178,0.29449838187702265
0.5,43,0.3,0.1,0.019999999999999997,0.5520796232071012,173,0.3468013468013468
0.5,43,0.3,0.1,0.03,0.6108303407611209,176,0.29449838187702265
0.5,43,0.3,0.1,0.04,0.6699906904380274,177,0.3076923076923077
0.5,43,0.3,0.12000000000000001,0.019999999999999997,0.5498793203519876,173,0.3289036544850498
0.5,43,0.3,0.12000000000000001,0.03,0.6107363069309802,176,0.29449838187702265
0.5,43,0.3,0.12000000000000001,0.04,0.6723730706310757,182,0.2861736334405145
0.5,43,0.35,0.08,0.019999999999999997,0.5531394488563699,176,0.3289036544850498
0.5,43,0.35,0.08,0.03,0.6134180142788466,176,0.2903225806451613
0.5,43,0.35,0.08,0.04,0.6735469747157831,177,0.3086816720257235
0.5,43,0.35,0.1,0.019999999999999997,0.553466829851027,177,0.3333333333333333
0.5,43,0.35,0.1,0.03,0.613396063853027,176,0.2903225806451613
0.5,43,0.35,0.1,0.04,0.6734918995426528,177,0.3022508038585209
0.5,43,0.35,0.12000000000000001,0.019999999999999997,0.5533833236987777,177,0.3333333333333333
0.5,43,0.35,0.12000000000000001,0.03,0.6126289043444637,176,0.28205128205128205
0.5,43,0.35,0.12000000000000001,0.04,0.6761948870105619,177,0.2980769230769231
0.6,41,0.25,0.08,0.019999999999999997,0.5356516904510634,180,0.25391849529780564
0.6,41,0.25,0.08,0.03,0.5894511191083589,179,0.2618296529968454
0.6,41,0.25,0.08,0.04,0.6253772676452449,159,0.2422360248447205
0.6,41,0.25,0.1,0.019999999999999997,0.5354053123777477,180,0.2578616352201258
0.6,41,0.25,0.1,0.03,0.5892699031783436,179,0.2618296529968454
0.6,41,0.25,0.1,0.04,0.6317380897946183,159,0.25
0.6,41,0.25,0.12000000000000001,0.019999999999999997,0.5352549879996781,180,0.2578616352201258
0.6,41,0.25,0.12000000000000001,0.03,0.5890773857280523,179,0.2618296529968454
0.6,41,0.25,0.12000000000000001,0.04,0.6314820738474016,159,0.25
0.6,41,0.3,0.08,0.019999999999999997,0.5373057808965818,180,0.2618296529968454
0.6,41,0.3,0.08,0.03,0.5873045947210186,179,0.24610591900311526
0.6,41,0.3,0.08,0.04,0.6350709601825832,178,0.24610591900311526
0.6,41,0.3,0.1,0.019999999999999997,0.537144313662182,180,0.2618296529968454
0.6,41,0.3,0.1,0.03,0.5871296244960373,179,0.24610591900311526
0.6,41,0.3,0.1,0.04,0.6349023660744872,178,0.24610591900311526
0.6,41,0.3,0.12000000000000001,0.019999999999999997,0.5369328672202068,180,0.25391849529780564
0.6,41,0.3,0.12000000000000001,0.03,0.5869442351712555,179,0.24610591900311526
0.6,41,0.3,0.12000000000000001,0.04,0.6347242441912357,178,0.24610591900311526
0.6,41,0.35,0.08,0.019999999999999997,0.5419347102032499,180,0.2698412698412698
0.6,41,0.35,0.08,0.03,0.5880502324232876,179,0.24610591900311526
0.6,41,0.35,0.08,0.04,0.6317075837120498,178,0.2422360248447205
0.6,41,0.35,0.1,0.019999999999999997,0.5418439254117351,180,0.2698412698412698
0.6,41,0.35,0.1,0.03,0.5882218408430998,179,0.24610591900311526
0.6,41,0.35,0.1,0.04,0.6315990195583158,178,0.2422360248447205
0.6,41,0.35,0.12000000000000001,0.019999999999999997,0.5417399818735902,180,0.2698412698412698
0.6,41,0.35,0.12000000000000001,0.03,0.5880641995171563,179,0.24610591900311526
0.6,41,0.35,0.12000000000000001,0.04,0.6346073075972308,178,0.2422360248447205
0.6,42,0.25,0.08,0.019999999999999997,0.5313783277415601,182,0.2987012987012987
0.6,42,0.25,0.08,0.03,0.5875079279122547,179,0.3161290322580645
0.6,42,0.25,0.08,0.04,0.6414989940362432,179,0.3343949044585987
0.6,42,0.25,0.1,0.019999999999999997,0.5313611641913019,182,0.2987012987012987
0.6,42,0.25,0.1,0.03,0.587771669405996,182,0.3076923076923077
0.6,42,0.25,0.1,0.04,0.6415975855912823,179,0.3248407643312102
0.6,42,0.25,0.12000000000000001,0.019999999999999997,0.5313274240016795,182,0.2987012987012987
0.6,42,0.25,0.12000000000000001,0.03,0.5877883807599689,182,0.30448717948717946
0.6,42,0.25,0.12000000000000001,0.04,0.640308083245406,179,0.3279742765273312
0.6,42,0.3,0.08,0.019999999999999997,0.5334393945191535,182,0.3365695792880259
0.6,42,0.3,0.08,0.03,0.591652970729229,182,0.32038834951456313
0.6,42,0.3,0.08,0.04,0.6492960856352743,182,0.2961783439490446
0.6,42,0.3,0.1,0.019999999999999997,0.5334927847085195,182,0.3333333333333333
0.6,42,0.3,0.1,0.03,0.5916813368978932,182,0.32038834951456313
0.6,42,0.3,0.1,0.04,0.6493667503139523,182,0.2961783439490446
0.6,42,0.3,0.12000000000000001,0.019999999999999997,0.5335237072832874,183,0.32038834951456313
0.6,42,0.3,0.12000000000000001,0.03,0.5916924715537499,182,0.31715210355987056
0.6,42,0.3,0.12000000000000001,0.04,0.6424485425969081,182,0.3354632587859425
0.6,42,0.35,0.08,0.019999999999999997,0.5348006121675124,182,0.34967320261437906
0.6,42,0.35,0.08,0.03,0.5946408026467911,182,0.3247588424437299
0.6,42,0.35,0.08,0.04,0.6489341333643401,182,0.30990415335463256
0.6,42,0.35,0.1,0.019999999999999997,0.5348393793046943,182,0.34967320261437906
0.6,42,0.35,0.1,0.03,0.5940227013539932,182,0.3193548387096774
0.6,42,0.35,0.1,0.04,0.6489025799709127,182,0.30990415335463256
0.6,42,0.35,0.12000000000000001,0.019999999999999997,0.5348817978116885,182,0.33986928104575165
0.6,42,0.35,0.12000000000000001,0.03,0.5946743957237973,182,0.3215434083601286
0.6,42,0.35,0.12000000000000001,0.04,0.648853464569777,182,0.31309904153354634
0.6,43,0.25,0.08,0.019999999999999997,0.5511987173331769,172,0.3289036544850498
0.6,43,0.25,0.08,0.03,0.6131867851767467,176,0.30718954248366015
0.6,43,0.25,0.08,0.04,0.6725708271734611,178,0.28938906752411575
0.6,43,0.25,0.1,0.019999999999999997,0.5510745367418246,172,0.3289036544850498
0.6,43,0.25,0.1,0.03,0.612917196229727,176,0.3114754098360656
0.6,43,0.25,0.1,0.04,0.6726190315095669,178,0.28938906752411575
0.6,43,0.25,0.12000000000000001,0.019999999999999997,0.5509672750503427,172,0.3289036544850498
0.6,43,0.25,0.12000000000000001,0.03,0.6141346686452345,176,0.3190789473684211
0.6,43,0.25,0.12000000000000001,0.04,0.6726540624842279,178,0.28938906752411575
0.6,43,0.3,0.08,0.019999999999999997,0.5535450382043501,172,0.3377926421404682
0.6,43,0.3,0.08,0.03,0.6176620365794051,177,0.3114754098360656
0.6,43,0.3,0.08,0.04,0.6716358601846651,177,0.273015873015873
0.6,43,0.3,0.1,0.019999999999999997,0.5534472746935076,172,0.3377926421404682
0.6,43,0.3,0.1,0.03,0.6179404546553846,177,0.3201320132013201
0.6,43,0.3,0.1,0.04,0.6716469701074146,177,0.273015873015873
0.6,43,0.3,0.12000000000000001,0.019999999999999997,0.554007853893647,173,0.3468013468013468
0.6,43,0.3,0.12000000000000001,0.03,0.6179893237462176,177,0.3201320132013201
0.6,43,0.3,0.12000000000000001,0.04,0.6716464016084878,177,0.2698412698412698
0.6,43,0.35,0.08,0.019999999999999997,0.5548951632361137,177,0.3333333333333333
0.6,43,0.35,0.08,0.03,0.6143572353306875,177,0.30194805194805197
0.6,43,0.35,0.08,0.04,0.677712906114281,177,0.32371794871794873
0.6,43,0.35,0.1,0.019999999999999997,0.5545238191773053,176,0.32450331125827814
0.6,43,0.35,0.1,0.03,0.6144067621213305,177,0.30194805194805197
0.6,43,0.35,0.1,0.04,0.6685327722379543,177,0.30128205128205127
0.6,43,0.35,0.12000000000000001,0.019999999999999997,0.5530018214609991,176,0.3201320132013201
0.6,43,0.35,0.12000000000000001,0.03,0.6144424915208903,177,0.30194805194805197
0.6,43,0.35,0.12000000000000001,0.04,0.6698671259011486,177,0.31290322580645163
